linux sucks|You Suck!
love windows|Windows was cool, in 1992.
youtube video|metalx1000 has some awesome videos https://www.youtube.com/user/metalx1000
android tutorial|Here is a good playlist for Android Tutorials https://www.youtube.com/playlist?list=PLcUid3OP_4OX9q80EIEAWsolQV5cr6RQx
python tutorial|https://www.youtube.com/playlist?list=PL7604BFACE2442F9A <-- some good GUI Python tutorials with GTK
python tutorial|Here are some basic Python videos: https://www.youtube.com/playlist?list=PLE2FD418285B14940
el3 is a jerk|Back off man.  He's with me!
Linux is crap|http://tinyurl.com/qe8rqmr <-- This is what I think of you!
dirty hippy|You want to see a dirty hippy?  Here you go: http://tinyurl.com/mgvb4zk
Bill Gates rocks|Well here is your hero.  Feel free to print it and hang it over your bed: http://tinyurl.com/pmpu8bt
linus torvalds|Linus Torvalds is ok.  I prefer the original Linus of the computer world: http://tinyurl.com/qapmbk4
learn something|It's always good to learn something new. Did you know In Utah, it is against the law to fish from the back of a horse.
learn something|It's always good to learn something new. Did you know If you put a can of Diet Coke in water, it floats. Regular Coca-Cola sinks.
learn something|It's always good to learn something new. Did you know 78% of NFL players are bankrupt two years after finishing their careers.
wget|wget is ok, but you should check out Axel: https://www.youtube.com/watch?v=npD_t_sjqPc
funny bot|I am a funny bot. Why was six scared of seven? Because seven "ate" nine.
funny bot|I am a funny bot. What do you call a bear with no teeth? A gummy bear.
funny bot|I am a funny bot. What is the difference between snowmen and snowwomen? Snowballs.
funny bot|I am a funny bot. I never wanted to believe that my Dad was stealing from his job as a road worker. But when I got home, all the signs were there.
axel|You can use a program called axel for faster downloads https://www.youtube.com/watch?v=npD_t_sjqPc
neelix|Here is a good song: https://www.youtube.com/watch?v=L5agL-kaPcQ
neelix|Here is a good song: https://www.youtube.com/watch?v=Je4AzGmqsYY
neelix|Feel the BASS: https://www.youtube.com/watch?v=Mg7yqr4moDA
neelix|https://www.youtube.com/watch?v=Nfko9cPGO68  <-- enjoy
download youtube|https://www.youtube.com/watch?v=dMXzoHTTvi0 <-- have a look at this
download youtube|Give this a try --> https://www.youtube.com/watch?v=FXxLjLQi3Fg
download youtube|Here is a GUI for downloading youtube videos https://www.youtube.com/watch?v=Edsszob3DVc
downloading youtube|https://www.youtube.com/watch?v=6AeztNIu8Z8 No need for Flash when you download youtube video and use mplayer or vlc
downloading youtube|http://rg3.github.io/youtube-dl/ <-- you need to download youtube videos right here
youtube-dl|http://rg3.github.io/youtube-dl/ <-- you need to download youtube videos right here
